department_code,department_title,collection_id,lesson,resource_folder,type,original_path,new_path,original_basename,new_basename,file_size_bytes,compressed_size_bytes,crc32,suggested_bunny_title
D1,Dział 1,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,06,03,VIDEO,dzial 1/06/03/ScreenRecorderProject87.mkv,dzial 1/06/03/D1_L06_03_VIDEO_ScreenRecorderProject87.mkv,ScreenRecorderProject87.mkv,D1_L06_03_VIDEO_ScreenRecorderProject87.mkv,4222094,2256922,937b2a1a,D1_L06_03_VIDEO_ScreenRecorderProject87
D2,Dział 2,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,01,ROOT,VIDEO,dzał 2/01/ScreenRecorderProject61.mkv,dzał 2/01/D2_L01_ROOT_VIDEO_ScreenRecorderProject61.mkv,ScreenRecorderProject61.mkv,D2_L01_ROOT_VIDEO_ScreenRecorderProject61.mkv,92788415,17090340,fed60657,D2_L01_ROOT_VIDEO_ScreenRecorderProject61
D2,Dział 2,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,02,ROOT,QUIZ,dzał 2/02/QIZ.TXT,dzał 2/02/D2_L02_ROOT_QUIZ_QIZ.txt,QIZ.TXT,D2_L02_ROOT_QUIZ_QIZ.txt,2521,1232,75edf7dc,
D2,Dział 2,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,02,ROOT,IMAGE,dzał 2/02/Screenshot_1.png,dzał 2/02/D2_L02_ROOT_IMAGE_Screenshot_1.png,Screenshot_1.png,D2_L02_ROOT_IMAGE_Screenshot_1.png,9179,7385,a18f98e7,
D2,Dział 2,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,03,ROOT,VIDEO,dzał 2/03/ScreenRecorderProject63.mkv,dzał 2/03/D2_L03_ROOT_VIDEO_ScreenRecorderProject63.mkv,ScreenRecorderProject63.mkv,D2_L03_ROOT_VIDEO_ScreenRecorderProject63.mkv,47835115,9443990,3aa891d4,D2_L03_ROOT_VIDEO_ScreenRecorderProject63
D2,Dział 2,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,04,ROOT,QUIZ,dzał 2/04/quzy.TXT,dzał 2/04/D2_L04_ROOT_QUIZ_quzy.txt,quzy.TXT,D2_L04_ROOT_QUIZ_quzy.txt,3037,1376,3c696b4e,
D2,Dział 2,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,04,ROOT,IMAGE,dzał 2/04/Screenshot_2.png,dzał 2/04/D2_L04_ROOT_IMAGE_Screenshot_2.png,Screenshot_2.png,D2_L04_ROOT_IMAGE_Screenshot_2.png,7969,6332,80df7dce,
D2,Dział 2,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,05,01,VIDEO,dzał 2/05/01/ScreenRecorderProject65.mkv,dzał 2/05/01/D2_L05_01_VIDEO_ScreenRecorderProject65.mkv,ScreenRecorderProject65.mkv,D2_L05_01_VIDEO_ScreenRecorderProject65.mkv,68575565,13855165,2b3f72e8,D2_L05_01_VIDEO_ScreenRecorderProject65
D2,Dział 2,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,05,02,VIDEO,dzał 2/05/02/ScreenRecorderProject66.mkv,dzał 2/05/02/D2_L05_02_VIDEO_ScreenRecorderProject66.mkv,ScreenRecorderProject66.mkv,D2_L05_02_VIDEO_ScreenRecorderProject66.mkv,4862168,2265840,84ee9f86,D2_L05_02_VIDEO_ScreenRecorderProject66
D2,Dział 2,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,05,03,IMAGE,dzał 2/05/03/1.png,dzał 2/05/03/D2_L05_03_IMAGE_1.png,1.png,D2_L05_03_IMAGE_1.png,16031,15324,6468ad1b,
