department_code,lesson,resource_folder,collection_id,original_path,new_basename,suggested_bunny_title
D3,02,05,b98b4a50-1458-4136-bd02-f3368696160d,dzial 3/02/05/ScreenRecorderProject85.mkv,D3_L02_05_VIDEO_ScreenRecorderProject85.mkv,D3_L02_05_VIDEO_ScreenRecorderProject85
D3,02,07,b98b4a50-1458-4136-bd02-f3368696160d,dzial 3/02/07/ScreenRecorderProject86.mkv,D3_L02_07_VIDEO_ScreenRecorderProject86.mkv,D3_L02_07_VIDEO_ScreenRecorderProject86
D3,03,03,b98b4a50-1458-4136-bd02-f3368696160d,dzial 3/03/03/ScreenRecorderProject84.mkv,D3_L03_03_VIDEO_ScreenRecorderProject84.mkv,D3_L03_03_VIDEO_ScreenRecorderProject84
D3,03,06,b98b4a50-1458-4136-bd02-f3368696160d,dzial 3/03/06/ScreenRecorderProject85.mkv,D3_L03_06_VIDEO_ScreenRecorderProject85.mkv,D3_L03_06_VIDEO_ScreenRecorderProject85
D3,03,08W,b98b4a50-1458-4136-bd02-f3368696160d,dzial 3/03/08w/ScreenRecorderProject86.mkv,D3_L03_08W_VIDEO_ScreenRecorderProject86.mkv,D3_L03_08W_VIDEO_ScreenRecorderProject86
D3,03,10,b98b4a50-1458-4136-bd02-f3368696160d,dzial 3/03/10/ScreenRecorderProject87.mkv,D3_L03_10_VIDEO_ScreenRecorderProject87.mkv,D3_L03_10_VIDEO_ScreenRecorderProject87
D3,04,03,b98b4a50-1458-4136-bd02-f3368696160d,dzial 3/04/03/ScreenRecorderProject88.mkv,D3_L04_03_VIDEO_ScreenRecorderProject88.mkv,D3_L04_03_VIDEO_ScreenRecorderProject88
D3,03,08W,b98b4a50-1458-4136-bd02-f3368696160d,dzial 3/03/08w/ScreenRecorderProject87.mkv,D3_L03_08W_VIDEO_ScreenRecorderProject87.mkv,D3_L03_08W_VIDEO_ScreenRecorderProject87
D3,04,05,b98b4a50-1458-4136-bd02-f3368696160d,dzial 3/04/05/ScreenRecorderProject88.mkv,D3_L04_05_VIDEO_ScreenRecorderProject88.mkv,D3_L04_05_VIDEO_ScreenRecorderProject88
D3,00,01,b98b4a50-1458-4136-bd02-f3368696160d,dzial 3/0/01/ScreenRecorderProject89.mkv,D3_L00_01_VIDEO_ScreenRecorderProject89.mkv,D3_L00_01_VIDEO_ScreenRecorderProject89
D3,00,03,b98b4a50-1458-4136-bd02-f3368696160d,dzial 3/0/03/ScreenRecorderProject90.mkv,D3_L00_03_VIDEO_ScreenRecorderProject90.mkv,D3_L00_03_VIDEO_ScreenRecorderProject90
D3,00,05,b98b4a50-1458-4136-bd02-f3368696160d,dzial 3/0/05/ScreenRecorderProject91.mkv,D3_L00_05_VIDEO_ScreenRecorderProject91.mkv,D3_L00_05_VIDEO_ScreenRecorderProject91
D3,00,07,b98b4a50-1458-4136-bd02-f3368696160d,dzial 3/0/07/ScreenRecorderProject92.mkv,D3_L00_07_VIDEO_ScreenRecorderProject92.mkv,D3_L00_07_VIDEO_ScreenRecorderProject92
